date,id,paper_title,page,n_pages,string_length,character_proportion,men_count,women_count,size,total_count,year,men_areas,women_areas
1950-01-03,KBNRC01:000087482:mpeg21:a0095,Algemeen Handelsblad,6,6,33,9.941861200771973e-06,1,0,1811026,1,1950,[0.05615601322123481],[]
1950-01-03,KBNRC01:000087482:mpeg21:a0100,Algemeen Handelsblad,6,6,2089,0.00013767603122906273,1,1,8639424,2,1950,[0.03138750916727782],[0.02426527509241357]
1950-01-04,KBNRC01:000087483:mpeg21:a0100,Algemeen Handelsblad,6,8,3,1.0444020571935456e-06,0,1,1543465,1,1950,[],[0.15116960864029957]
1950-01-05,KBNRC01:000087484:mpeg21:a0064,Algemeen Handelsblad,4,6,1724,0.0003809139991639335,2,1,3998340,3,1950,"[0.036191019272998295, 0.036464632822621385]",[0.02175352771400131]
1950-01-06,KBNRC01:000087485:mpeg21:a0111,Algemeen Handelsblad,6,6,1426,0.00024977649732777684,0,1,4135749,1,1950,[],[0.1058695776750475]
1950-01-09,KBNRC01:000087487:mpeg21:a0085,Algemeen Handelsblad,6,8,2356,0.00043925009046948485,5,3,3852888,8,1950,"[0.007843986121579449, 0.029808289262496082, 0.0258958993876801, 0.040177653749602894, 0.05693962554841978]","[0.01114125300294221, 0.042331362863389746, 0.03433787849530015]"
1950-01-11,KBNRC01:000087489:mpeg21:a0121,Algemeen Handelsblad,6,6,399,8.571084255047109e-05,1,1,3372687,2,1950,[0.003537535502108556],[0.003450957648901306]
1950-01-14,KBNRC01:000087492:mpeg21:a0023,Algemeen Handelsblad,2,12,9,4.987003315248982e-06,1,0,904590,1,1950,[0.137367205032114],[]
1950-01-17,KBNRC01:000087494:mpeg21:a0104,Algemeen Handelsblad,6,6,377,0.00015627927645596738,1,0,1715784,1,1950,[0.43904827181043765],[]
1950-01-18,KBNRC01:000087495:mpeg21:a0111,Algemeen Handelsblad,6,6,5,1.9820851218348083e-06,1,0,1329360,1,1950,[0.07882289221881206],[]
1950-01-21,KBNRC01:000087498:mpeg21:a0168,Algemeen Handelsblad,10,10,1377,0.0003652149835215636,0,2,3660748,2,1950,[],"[0.05484944606949181, 0.06528583775774786]"
1950-01-24,KBNRC01:000087500:mpeg21:a0081,Algemeen Handelsblad,4,6,772,0.0003678450095534877,2,0,1671380,2,1950,"[0.10536323277770465, 0.09236080364728548]",[]
1950-01-24,KBNRC01:000087500:mpeg21:a0136,Algemeen Handelsblad,6,6,593,0.00016645202869374734,0,1,2451332,1,1950,[],[0.438137306574548]
1950-01-25,KBNRC01:000087501:mpeg21:a0081,Algemeen Handelsblad,4,6,464,8.954068331119903e-05,0,1,3309600,1,1950,[],[0.2614037950205463]
1950-01-28,KBNRC01:000087504:mpeg21:a0014,Algemeen Handelsblad,2,12,451,0.00030391818603297144,1,0,982150,1,1950,[0.0038385175380542687],[]
1950-01-30,KBNRC01:000087505:mpeg21:a0151,Algemeen Handelsblad,8,8,600,0.0001151252956561499,2,0,3116865,2,1950,"[0.012758653326339126, 0.2929071358560605]",[]
1950-02-04,KBNRC01:000087510:mpeg21:a0129,Algemeen Handelsblad,8,12,744,0.0001194519467616802,2,0,4572170,2,1950,"[0.14935796350529398, 0.1451323988390633]",[]
1950-02-07,KBNRC01:000087512:mpeg21:a0112,Algemeen Handelsblad,6,6,448,9.325358209281438e-05,0,1,3215429,1,1950,[],[0.24767083956759736]
1950-02-08,KBNRC01:000087513:mpeg21:a0043,Algemeen Handelsblad,3,6,223,0.0004163072982589768,1,0,394290,1,1950,[0.3988612442618377],[]
1950-02-08,KBNRC01:000087513:mpeg21:a0054,Algemeen Handelsblad,4,6,213,6.15833513312846e-05,2,2,1710000,4,1950,"[0.046, 0.03550877192982456]","[0.035491812865497074, 0.05511578947368421]"
1950-02-08,KBNRC01:000087513:mpeg21:a0094,Algemeen Handelsblad,6,6,436,0.00017815020432112308,2,0,2424834,2,1950,"[0.10654997414255986, 0.10024397546388743]",[]
1950-02-11,KBNRC01:000087516:mpeg21:a0050,Algemeen Handelsblad,4,10,30,2.699565369975434e-05,1,0,638010,1,1950,[0.2789501731947775],[]
1950-02-13,KBNRC01:000087517:mpeg21:a0108,Algemeen Handelsblad,6,8,647,0.00021765706800118143,1,0,1801170,1,1950,[0.2766951481537001],[]
1950-02-14,KBNRC01:000087518:mpeg21:a0127,Algemeen Handelsblad,6,6,215,6.364381251894514e-05,1,0,2084984,1,1950,[0.3085951738718379],[]
1950-02-14,KBNRC01:000087518:mpeg21:a0136,Algemeen Handelsblad,6,6,422,0.00016956371497223494,0,1,1683860,1,1950,[],[0.48564607508937796]
1950-02-23,KBNRC01:000087526:mpeg21:a0133,Algemeen Handelsblad,8,8,670,0.00010496118629325968,1,1,4457400,2,1950,[0.29396419437340154],[0.060323058285098936]
1950-02-23,KBNRC01:000087526:mpeg21:a0143,Algemeen Handelsblad,8,8,237,6.148154969823455e-05,0,1,2430000,1,1950,[],[0.1204246913580247]
1950-02-24,KBNRC01:000087527:mpeg21:a0126,Algemeen Handelsblad,8,8,343,3.491738830965839e-05,2,1,5543946,3,1950,"[0.06278740810245988, 0.12790528623475048]",[0.22185894307051332]
1950-02-25,KBNRC01:000087528:mpeg21:a0093,Algemeen Handelsblad,6,12,98,0.0001038963241904568,1,0,943248,1,1950,[0.14405543398978848],[]
1950-02-28,KBNRC01:000087530:mpeg21:a0153,Algemeen Handelsblad,8,8,160,0.0002086756918903409,2,0,495800,2,1950,"[0.01754739814441307, 0.013311819281968536]",[]
1950-03-02,KBNRC01:000087532:mpeg21:a0129,Algemeen Handelsblad,8,8,1083,9.407597586234572e-05,0,1,6502784,1,1950,[],[0.1282001678050509]
1950-03-03,KBNRC01:000087533:mpeg21:a0098,Algemeen Handelsblad,6,8,463,6.574829224846095e-05,0,3,4148364,3,1950,[],"[0.016498070082567488, 0.3511593968128158, 0.3225510104706337]"
1950-03-03,KBNRC01:000087533:mpeg21:a0136,Algemeen Handelsblad,8,8,1274,0.00016932142908881017,3,1,5084323,4,1950,"[0.012741126006353255, 0.010393714168041645, 0.2047592176972234]",[0.012771611874383276]
1950-03-06,KBNRC01:000087535:mpeg21:a0075,Algemeen Handelsblad,6,8,439,9.244911823757863e-05,1,0,3083616,1,1950,[0.28438301007648165],[]
1950-03-07,KBNRC01:000087536:mpeg21:a0118,Algemeen Handelsblad,6,6,497,0.0001350750862564497,1,1,2294887,2,1950,[0.041851733876221354],[0.04750647853249419]
1950-03-09,KBNRC01:000087538:mpeg21:a0017,Algemeen Handelsblad,2,6,171,6.077145632220386e-05,3,1,1792700,4,1950,"[0.05408043732916829, 0.019753444525018128, 0.09594578010821665]",[0.03106320075863223]
1950-03-11,KBNRC01:000087540:mpeg21:a0066,Algemeen Handelsblad,5,12,30,1.637871073340591e-05,1,0,1006020,1,1950,[0.14898709767201448],[]
1950-03-11,KBNRC01:000087540:mpeg21:a0119,Algemeen Handelsblad,8,12,219,0.00010555356337262432,0,1,1525400,1,1950,[],[0.23797036842795333]
1950-03-11,KBNRC01:000087540:mpeg21:a0184,Algemeen Handelsblad,12,12,817,0.00018654403318246176,2,0,2976995,2,1950,"[0.23834302711291083, 0.08971059743130237]",[]
1950-03-14,KBNRC01:000087542:mpeg21:a0067,Algemeen Handelsblad,4,6,30,2.431352780373472e-05,1,0,717201,1,1950,[0.24409056875269275],[]
1950-03-15,KBNRC01:000087543:mpeg21:a0043,Algemeen Handelsblad,3,8,203,9.545753785385122e-05,2,1,1421000,3,1950,"[0.022181562280084447, 0.03304433497536946]",[0.08521815622800845]
1950-03-15,KBNRC01:000087543:mpeg21:a0099,Algemeen Handelsblad,6,8,603,0.00021104755184839856,1,0,2175748,1,1950,[0.04529614642872244],[]
1950-03-16,KBNRC01:000087544:mpeg21:a0048,Algemeen Handelsblad,3,8,53,2.2381785112058842e-05,0,1,1243645,1,1950,[],[0.1645356994962389]
1950-03-17,KBNRC01:000087545:mpeg21:a0108,Algemeen Handelsblad,7,10,516,3.804386413297481e-05,0,4,7391307,4,1950,[],"[0.15041034014687796, 0.23331651628054415, 0.08284137027456713, 0.10912819613635315]"
1950-03-17,KBNRC01:000087545:mpeg21:a0113,Algemeen Handelsblad,8,10,329,5.282135896673073e-05,0,2,3664493,2,1950,[],"[0.22501066313948478, 0.2942699030943708]"
1950-03-17,KBNRC01:000087545:mpeg21:a0116,Algemeen Handelsblad,8,10,771,0.00014753052839082463,0,2,3909744,2,1950,[],"[0.022966721094782677, 0.2659938860447129]"
